species,date,confidence,alert_count,area_ha
pongo_abelii,2025-08-02,high,1252,15.4085
pongo_abelii,2025-08-02,highest,58,0.7138
pongo_abelii,2025-08-02,nominal,13,0.16
pongo_abelii,2025-08-03,high,109,1.338
pongo_abelii,2025-08-03,highest,153,1.8778
pongo_abelii,2025-08-06,high,17768,218.0886
pongo_abelii,2025-08-06,highest,1988,24.4065
pongo_abelii,2025-08-06,nominal,225,2.7618
pongo_abelii,2025-08-07,nominal,191,2.3462
pongo_abelii,2025-08-07,highest,3003,36.9041
pongo_abelii,2025-08-07,high,16651,204.5431
pongo_abelii,2025-08-09,high,681,8.3808
pongo_abelii,2025-08-09,highest,65,0.7999
pongo_abelii,2025-08-09,nominal,1,0.0123
pongo_abelii,2025-08-10,high,1803,22.1892
pongo_abelii,2025-08-10,highest,125,1.5383
pongo_abelii,2025-08-10,nominal,4,0.0492
pongo_abelii,2025-08-11,high,143,1.7552
pongo_abelii,2025-08-11,highest,58,0.7118
pongo_abelii,2025-08-12,nominal,36,0.4422
pongo_abelii,2025-08-12,highest,598,7.3455
pongo_abelii,2025-08-12,high,2898,35.5983
pongo_abelii,2025-08-13,high,49423,607.1865
pongo_abelii,2025-08-13,highest,6589,80.9761
pongo_abelii,2025-08-13,nominal,423,5.1959
pongo_abelii,2025-08-14,high,1205,14.8304
pongo_abelii,2025-08-14,highest,23,0.283
pongo_abelii,2025-08-14,nominal,12,0.1477
pongo_abelii,2025-08-15,high,921,11.3352
pongo_abelii,2025-08-15,highest,60,0.7384
pongo_abelii,2025-08-18,nominal,214,2.6269
pongo_abelii,2025-08-18,highest,2742,33.6675
pongo_abelii,2025-08-18,high,16688,204.8407
pongo_abelii,2025-08-19,high,10088,123.9049
pongo_abelii,2025-08-19,highest,2288,28.1048
pongo_abelii,2025-08-19,nominal,129,1.5844
pongo_abelii,2025-08-20,high,302,3.7096
pongo_abelii,2025-08-20,highest,49,0.6019
pongo_abelii,2025-08-21,high,326,4.012
pongo_abelii,2025-08-21,highest,23,0.2831
pongo_abelii,2025-08-21,nominal,2,0.0246
pongo_abelii,2025-08-22,nominal,18,0.2215
pongo_abelii,2025-08-22,high,1017,12.5163
pongo_abelii,2025-08-22,highest,14,0.1723
pongo_abelii,2025-08-23,high,16,0.1969
pongo_abelii,2025-08-24,high,4810,59.0827
pongo_abelii,2025-08-24,highest,1212,14.8886
pongo_abelii,2025-08-24,nominal,84,1.0319
pongo_abelii,2025-08-25,high,16742,205.674
pongo_abelii,2025-08-25,highest,2688,33.0331
pongo_abelii,2025-08-25,nominal,226,2.7761
pongo_abelii,2025-08-26,nominal,7,0.0862
pongo_abelii,2025-08-26,highest,2,0.0246
pongo_abelii,2025-08-26,high,565,6.9537
pongo_abelii,2025-08-27,high,597,7.3478
pongo_abelii,2025-08-27,highest,1,0.0123
pongo_abelii,2025-08-27,nominal,2,0.0246
pongo_abelii,2025-08-28,high,122,1.4987
pongo_abelii,2025-08-28,highest,16,0.1966
pongo_abelii,2025-08-30,high,8910,109.3705
pongo_abelii,2025-08-30,highest,1463,17.9655
pongo_abelii,2025-08-30,nominal,118,1.4484
pongo_abelii,2025-08-31,nominal,89,1.093
pongo_abelii,2025-08-31,high,4811,59.0956
pongo_abelii,2025-08-31,highest,917,11.2686
pongo_abelii,2025-09-02,high,120,1.4768
pongo_abelii,2025-09-02,nominal,2,0.0246
pongo_abelii,2025-09-03,high,787,9.6855
pongo_abelii,2025-09-03,nominal,6,0.0738
pongo_abelii,2025-09-04,high,6966,85.6287
pongo_abelii,2025-09-04,highest,1169,14.3692
pongo_abelii,2025-09-05,high,6046,74.255
pongo_abelii,2025-09-05,highest,1909,23.4475
pongo_abelii,2025-09-05,nominal,42,0.5159
pongo_abelii,2025-09-06,high,15640,192.1318
pongo_abelii,2025-09-06,highest,1943,23.8762
pongo_abelii,2025-09-06,nominal,173,2.1248
pongo_abelii,2025-09-07,highest,3,0.0369
pongo_abelii,2025-09-07,high,461,5.6737
pongo_abelii,2025-09-07,nominal,12,0.1477
pongo_abelii,2025-09-08,nominal,3,0.0369
pongo_abelii,2025-09-08,high,320,3.9385
pongo_abelii,2025-09-11,nominal,114,1.3993
pongo_abelii,2025-09-11,high,8180,100.4099
pongo_abelii,2025-09-11,highest,2055,25.232
pongo_abelii,2025-09-12,high,4486,55.0866
pongo_abelii,2025-09-12,highest,1496,18.377
pongo_abelii,2025-09-12,nominal,58,0.7122
pongo_abelii,2025-09-13,high,832,10.2297
pongo_abelii,2025-09-13,highest,438,5.3853
pongo_abelii,2025-09-14,high,155,1.9076
pongo_abelii,2025-09-14,nominal,1,0.0123
pongo_abelii,2025-09-15,highest,2,0.0246
pongo_abelii,2025-09-15,nominal,14,0.1723
pongo_abelii,2025-09-15,high,691,8.5041
pongo_abelii,2025-09-17,high,3342,41.0428
pongo_abelii,2025-09-17,highest,1914,23.5085
pongo_abelii,2025-09-17,nominal,58,0.7122
