species,date,confidence,alert_count,area_ha
pongo_pygmaeus,2025-07-11,high,40703,499.9348
pongo_pygmaeus,2025-07-11,highest,7775,95.5594
pongo_pygmaeus,2025-07-11,nominal,332,4.079
pongo_pygmaeus,2025-07-12,high,15746,193.7689
pongo_pygmaeus,2025-07-12,highest,5992,73.732
pongo_pygmaeus,2025-07-13,high,7007,86.1819
pongo_pygmaeus,2025-07-13,highest,2667,32.8143
pongo_pygmaeus,2025-07-14,highest,15501,190.7424
pongo_pygmaeus,2025-07-14,nominal,7,0.0862
pongo_pygmaeus,2025-07-14,high,37370,459.8152
pongo_pygmaeus,2025-07-15,high,14076,172.7658
pongo_pygmaeus,2025-07-15,highest,1125,13.823
pongo_pygmaeus,2025-07-16,high,3523,43.3542
pongo_pygmaeus,2025-07-16,highest,752,9.2558
pongo_pygmaeus,2025-07-16,nominal,28,0.3445
pongo_pygmaeus,2025-07-18,high,2353,28.9277
pongo_pygmaeus,2025-07-18,highest,802,9.8511
pongo_pygmaeus,2025-07-18,nominal,10,0.1229
pongo_pygmaeus,2025-07-19,high,74,0.9107
pongo_pygmaeus,2025-07-19,highest,29,0.3569
pongo_pygmaeus,2025-07-20,highest,101,1.243
pongo_pygmaeus,2025-07-20,high,1536,18.9
pongo_pygmaeus,2025-07-21,high,35170,432.8318
pongo_pygmaeus,2025-07-21,highest,20334,250.263
pongo_pygmaeus,2025-07-22,high,14768,181.7115
pongo_pygmaeus,2025-07-22,highest,9512,117.0465
pongo_pygmaeus,2025-07-23,high,35600,437.3729
pongo_pygmaeus,2025-07-23,highest,7992,98.2305
pongo_pygmaeus,2025-07-23,nominal,314,3.8576
pongo_pygmaeus,2025-07-24,highest,1746,21.4778
pongo_pygmaeus,2025-07-24,high,23213,285.2344
pongo_pygmaeus,2025-07-26,nominal,11,0.1354
pongo_pygmaeus,2025-07-26,highest,1127,13.8702
pongo_pygmaeus,2025-07-26,high,2185,26.8918
pongo_pygmaeus,2025-07-27,high,2934,36.105
pongo_pygmaeus,2025-07-27,highest,1665,20.4879
pongo_pygmaeus,2025-07-28,high,72712,894.8078
pongo_pygmaeus,2025-07-28,highest,23016,283.2333
pongo_pygmaeus,2025-07-28,nominal,191,2.3507
pongo_pygmaeus,2025-07-29,high,15556,191.4224
pongo_pygmaeus,2025-07-29,highest,13561,166.8563
pongo_pygmaeus,2025-07-30,highest,3263,40.1411
pongo_pygmaeus,2025-07-30,high,7621,93.7201
pongo_pygmaeus,2025-07-30,nominal,11,0.1351
pongo_pygmaeus,2025-07-31,highest,2132,26.2306
pongo_pygmaeus,2025-07-31,high,15525,190.5255
pongo_pygmaeus,2025-08-01,high,6416,78.6555
pongo_pygmaeus,2025-08-01,highest,52,0.6375
pongo_pygmaeus,2025-08-02,high,64672,795.7891
pongo_pygmaeus,2025-08-02,highest,25112,308.9792
pongo_pygmaeus,2025-08-02,nominal,226,2.781
pongo_pygmaeus,2025-08-04,high,24730,303.7858
pongo_pygmaeus,2025-08-04,highest,5102,62.6851
pongo_pygmaeus,2025-08-04,nominal,192,2.3581
pongo_pygmaeus,2025-08-06,highest,4814,59.2364
pongo_pygmaeus,2025-08-06,high,10902,134.1321
pongo_pygmaeus,2025-08-07,high,2421,29.7964
pongo_pygmaeus,2025-08-07,highest,705,8.6767
pongo_pygmaeus,2025-08-07,nominal,9,0.1108
pongo_pygmaeus,2025-08-08,high,10357,127.0227
pongo_pygmaeus,2025-08-08,highest,1800,22.1278
pongo_pygmaeus,2025-08-09,high,44069,542.2973
pongo_pygmaeus,2025-08-09,highest,8217,101.1214
pongo_pygmaeus,2025-08-09,nominal,153,1.883
pongo_pygmaeus,2025-08-12,high,10,0.1231
pongo_pygmaeus,2025-08-14,nominal,111,1.3659
pongo_pygmaeus,2025-08-14,highest,12549,154.411
pongo_pygmaeus,2025-08-14,high,41653,512.5402
pongo_pygmaeus,2025-08-16,high,21832,268.2438
pongo_pygmaeus,2025-08-16,highest,4248,52.2218
pongo_pygmaeus,2025-08-16,nominal,152,1.8676
pongo_pygmaeus,2025-08-17,high,64,0.7869
pongo_pygmaeus,2025-08-19,high,1027,12.6395
pongo_pygmaeus,2025-08-19,highest,271,3.3353
pongo_pygmaeus,2025-08-19,nominal,4,0.0492
pongo_pygmaeus,2025-08-21,highest,10929,134.4954
pongo_pygmaeus,2025-08-21,nominal,236,2.9046
pongo_pygmaeus,2025-08-21,high,50400,620.2553
pongo_pygmaeus,2025-08-22,high,2054,25.2805
pongo_pygmaeus,2025-08-22,highest,670,8.2464
pongo_pygmaeus,2025-08-23,high,1547,19.0075
pongo_pygmaeus,2025-08-23,highest,505,6.1966
pongo_pygmaeus,2025-08-23,nominal,15,0.184
pongo_pygmaeus,2025-08-24,high,10012,122.7106
pongo_pygmaeus,2025-08-24,highest,170,2.0826
pongo_pygmaeus,2025-08-25,highest,15,0.1846
pongo_pygmaeus,2025-08-25,high,162,1.9903
pongo_pygmaeus,2025-08-26,highest,12014,147.8294
pongo_pygmaeus,2025-08-26,nominal,172,2.1166
pongo_pygmaeus,2025-08-26,high,32730,402.769
pongo_pygmaeus,2025-08-28,nominal,153,1.8795
pongo_pygmaeus,2025-08-28,highest,6893,84.7179
pongo_pygmaeus,2025-08-28,high,25922,318.5195
pongo_pygmaeus,2025-08-29,high,14927,183.6838
pongo_pygmaeus,2025-08-29,highest,3443,42.3635
pongo_pygmaeus,2025-08-30,high,561,6.9042
pongo_pygmaeus,2025-08-30,highest,78,0.96
pongo_pygmaeus,2025-08-31,high,2395,29.4613
pongo_pygmaeus,2025-08-31,highest,529,6.5075
pongo_pygmaeus,2025-08-31,nominal,6,0.0738
pongo_pygmaeus,2025-09-01,high,6,0.0736
pongo_pygmaeus,2025-09-02,nominal,249,3.0645
pongo_pygmaeus,2025-09-02,highest,20220,248.8254
pongo_pygmaeus,2025-09-02,high,76484,941.2463
pongo_pygmaeus,2025-09-04,high,1009,12.3988
pongo_pygmaeus,2025-09-04,highest,339,4.1583
pongo_pygmaeus,2025-09-04,nominal,8,0.0984
pongo_pygmaeus,2025-09-05,high,427,5.2532
pongo_pygmaeus,2025-09-05,highest,126,1.5499
pongo_pygmaeus,2025-09-07,high,15816,194.6282
pongo_pygmaeus,2025-09-07,highest,5248,64.5736
pongo_pygmaeus,2025-09-07,nominal,66,0.8122
pongo_pygmaeus,2025-09-09,highest,4280,52.6012
pongo_pygmaeus,2025-09-09,nominal,132,1.6214
pongo_pygmaeus,2025-09-09,high,21059,258.6483
pongo_pygmaeus,2025-09-10,high,422,5.1788
pongo_pygmaeus,2025-09-10,highest,208,2.5524
pongo_pygmaeus,2025-09-12,high,2094,25.7721
pongo_pygmaeus,2025-09-12,highest,393,4.8359
pongo_pygmaeus,2025-09-12,nominal,6,0.0738
