species,date,confidence,alert_count,area_ha
pongo_tapanuliensis,2025-08-07,high,1892,23.2782
pongo_tapanuliensis,2025-08-07,highest,142,1.7471
pongo_tapanuliensis,2025-08-07,nominal,26,0.3199
pongo_tapanuliensis,2025-08-13,high,287,3.5311
pongo_tapanuliensis,2025-08-13,highest,35,0.4306
pongo_tapanuliensis,2025-08-13,nominal,5,0.0615
pongo_tapanuliensis,2025-08-19,high,1358,16.7081
pongo_tapanuliensis,2025-08-19,highest,137,1.6856
pongo_tapanuliensis,2025-08-19,nominal,22,0.2707
pongo_tapanuliensis,2025-08-25,high,26,0.3199
pongo_tapanuliensis,2025-08-25,highest,1,0.0123
pongo_tapanuliensis,2025-08-28,high,6,0.0738
pongo_tapanuliensis,2025-08-31,nominal,20,0.2461
pongo_tapanuliensis,2025-08-31,high,806,9.9166
pongo_tapanuliensis,2025-08-31,highest,94,1.1565
pongo_tapanuliensis,2025-09-06,high,53,0.6521
pongo_tapanuliensis,2025-09-06,highest,4,0.0492
pongo_tapanuliensis,2025-09-06,nominal,2,0.0246
pongo_tapanuliensis,2025-09-12,high,476,5.8565
pongo_tapanuliensis,2025-09-12,highest,93,1.1442
pongo_tapanuliensis,2025-09-12,nominal,11,0.1353
pongo_tapanuliensis,2025-09-18,high,20,0.2461
pongo_tapanuliensis,2025-09-22,highest,25,0.3076
pongo_tapanuliensis,2025-09-22,high,155,1.907
pongo_tapanuliensis,2025-09-24,highest,30,0.3691
pongo_tapanuliensis,2025-09-24,nominal,7,0.0861
pongo_tapanuliensis,2025-09-24,high,285,3.5065
pongo_tapanuliensis,2025-09-30,high,45,0.5537
pongo_tapanuliensis,2025-09-30,highest,11,0.1353
pongo_tapanuliensis,2025-09-30,nominal,1,0.0123
pongo_tapanuliensis,2025-10-06,high,473,5.8195
pongo_tapanuliensis,2025-10-06,highest,103,1.2673
pongo_tapanuliensis,2025-10-06,nominal,11,0.1353
pongo_tapanuliensis,2025-10-08,high,50,0.6152
pongo_tapanuliensis,2025-10-08,highest,7,0.0861
pongo_tapanuliensis,2025-10-12,high,31,0.3814
pongo_tapanuliensis,2025-10-12,highest,5,0.0615
pongo_tapanuliensis,2025-10-18,nominal,6,0.0738
pongo_tapanuliensis,2025-10-18,high,230,2.8298
pongo_tapanuliensis,2025-10-18,highest,45,0.5537
pongo_tapanuliensis,2025-10-24,high,124,1.5256
pongo_tapanuliensis,2025-10-24,highest,7,0.0861
pongo_tapanuliensis,2025-10-30,high,994,12.2297
pongo_tapanuliensis,2025-10-30,highest,204,2.5099
pongo_tapanuliensis,2025-10-30,nominal,13,0.1599
pongo_tapanuliensis,2025-11-01,high,207,2.5468
pongo_tapanuliensis,2025-11-01,highest,79,0.972
pongo_tapanuliensis,2025-11-05,highest,49,0.6029
pongo_tapanuliensis,2025-11-05,high,272,3.3466
pongo_tapanuliensis,2025-11-11,highest,407,5.0075
pongo_tapanuliensis,2025-11-11,nominal,17,0.2092
pongo_tapanuliensis,2025-11-11,high,1716,21.1128
pongo_tapanuliensis,2025-11-23,nominal,40,0.4921
pongo_tapanuliensis,2025-11-23,high,2154,26.5017
pongo_tapanuliensis,2025-11-23,highest,565,6.9515
