species,date_acq,alert_count
pongo_abelii,2026-07-03,1
pongo_abelii,2026-07-05,1
pongo_abelii,2026-07-06,31
pongo_abelii,2026-07-07,6
pongo_abelii,2026-07-08,8
pongo_abelii,2026-07-09,16
pongo_abelii,2026-07-10,1
pongo_abelii,2026-07-18,3
pongo_abelii,2026-07-19,6
pongo_abelii,2026-07-20,1
pongo_abelii,2026-07-21,2
pongo_abelii,2026-07-23,5
pongo_abelii,2026-07-24,1
pongo_abelii,2026-07-31,1
pongo_abelii,2026-08-01,1
pongo_abelii,2026-08-02,3
pongo_abelii,2026-08-08,2
pongo_abelii,2026-08-09,1
pongo_abelii,2026-08-15,2
pongo_abelii,2026-08-18,3
pongo_abelii,2026-08-22,4
pongo_abelii,2026-08-23,15
pongo_abelii,2026-08-26,2
pongo_abelii,2026-08-28,9
pongo_abelii,2026-08-29,2
pongo_abelii,2026-08-30,8
pongo_abelii,2026-08-31,6
pongo_abelii,2026-09-01,4
pongo_abelii,2026-09-02,9
pongo_abelii,2026-09-03,4
pongo_abelii,2026-09-04,3
pongo_abelii,2026-09-05,5
pongo_abelii,2026-09-06,1
pongo_abelii,2026-09-08,2
pongo_abelii,2026-09-09,7
pongo_abelii,2026-09-15,7
pongo_abelii,2026-09-16,7
pongo_abelii,2026-09-17,7
pongo_abelii,2026-09-18,1
pongo_abelii,2026-09-19,1
pongo_abelii,2026-09-24,2
pongo_abelii,2026-09-25,1
