species,date_acq,alert_count
pongo_pygmaeus,2026-05-01,2
pongo_pygmaeus,2026-05-02,10
pongo_pygmaeus,2026-05-03,10
pongo_pygmaeus,2026-05-04,2
pongo_pygmaeus,2026-05-05,1
pongo_pygmaeus,2026-05-06,1
pongo_pygmaeus,2026-05-07,1
pongo_pygmaeus,2026-05-09,2
pongo_pygmaeus,2026-05-11,3
pongo_pygmaeus,2026-05-12,1
pongo_pygmaeus,2026-05-13,1
pongo_pygmaeus,2026-05-14,2
pongo_pygmaeus,2026-05-20,2
pongo_pygmaeus,2026-05-21,1
pongo_pygmaeus,2026-05-23,1
pongo_pygmaeus,2026-05-24,1
pongo_pygmaeus,2026-06-03,9
pongo_pygmaeus,2026-06-04,4
pongo_pygmaeus,2026-06-05,13
pongo_pygmaeus,2026-06-06,14
pongo_pygmaeus,2026-06-08,3
pongo_pygmaeus,2026-06-09,3
pongo_pygmaeus,2026-06-10,3
pongo_pygmaeus,2026-06-11,2
pongo_pygmaeus,2026-06-14,2
pongo_pygmaeus,2026-06-17,3
pongo_pygmaeus,2026-06-18,1
pongo_pygmaeus,2026-06-19,1
pongo_pygmaeus,2026-06-20,4
pongo_pygmaeus,2026-06-21,4
pongo_pygmaeus,2026-06-22,1
pongo_pygmaeus,2026-06-23,1
pongo_pygmaeus,2026-06-24,6
pongo_pygmaeus,2026-06-25,6
pongo_pygmaeus,2026-06-26,4
pongo_pygmaeus,2026-06-27,7
pongo_pygmaeus,2026-06-29,4
pongo_pygmaeus,2026-07-01,3
pongo_pygmaeus,2026-07-02,5
pongo_pygmaeus,2026-07-03,2
pongo_pygmaeus,2026-07-04,8
pongo_pygmaeus,2026-07-05,9
pongo_pygmaeus,2026-07-06,9
pongo_pygmaeus,2026-07-07,4
pongo_pygmaeus,2026-07-08,15
pongo_pygmaeus,2026-07-09,26
pongo_pygmaeus,2026-07-10,22
pongo_pygmaeus,2026-07-17,18
pongo_pygmaeus,2026-07-18,19
pongo_pygmaeus,2026-07-19,48
